Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1513803600000,76.00000000,77.27900000,72.50100000,73.03000000,5365.20600000,1513805399999,396994.13644200,366,2206.02800000,163396.72200000,0
1513805400000,73.00000000,75.88100000,72.00000000,75.33700000,6117.47500000,1513807199999,450001.55768700,337,1459.06600000,108767.10035700,0
1513807200000,75.06400000,75.06400000,70.20000000,71.68600000,4177.93100000,1513808999999,300813.16289400,265,727.07100000,52479.52672000,0
1513809000000,71.50000000,74.81000000,70.51000000,73.01000000,1103.45300000,1513810799999,80017.72518500,135,577.45300000,41877.95573900,0
1513810800000,73.03000000,74.76600000,71.68700000,73.90000000,674.14500000,1513812599999,49415.57109600,110,158.84300000,11670.05130800,0
1513812600000,74.43700000,77.00000000,73.89800000,76.87900000,2042.79500000,1513814399999,154409.64518600,265,1175.45900000,88989.63545900,0
1513814400000,76.49000000,76.90000000,74.50000000,76.40000000,1260.26600000,1513816199999,95163.12284600,203,758.23800000,57351.58167100,0
1513816200000,76.40000000,78.50000000,76.40000000,77.90000000,2554.38400000,1513817999999,197229.64301600,247,1836.70200000,141785.73498500,0
1513818000000,78.00000000,78.00000000,74.01100000,74.58600000,1871.33900000,1513819799999,140863.10486700,153,899.24800000,67708.67688300,0
1513819800000,75.00000000,76.00000000,74.00000000,75.72400000,2293.50700000,1513821599999,172813.93945700,154,954.51000000,72085.80668600,0
1513821600000,75.70300000,81.50000000,74.92600000,78.61900000,4966.17500000,1513823399999,388162.11429200,343,4321.36200000,338876.66738200,0
1513823400000,77.31500000,79.00000000,76.22700000,77.00000000,1857.76700000,1513825199999,143911.00440400,111,1152.77700000,89631.60023900,0
1513825200000,77.00000000,78.47000000,75.90800000,77.55500000,1337.52700000,1513826999999,103180.73643500,115,976.74200000,75505.76290600,0
1513827000000,77.56800000,80.00000000,77.44000000,78.67600000,2657.03600000,1513828799999,209656.03394700,247,1259.72100000,99265.43620100,0
1513828800000,78.67800000,79.64500000,78.37000000,78.57500000,2095.28900000,1513830599999,164952.35313800,224,1419.17300000,111788.88697800,0
1513830600000,78.56300000,79.00000000,76.57100000,77.07100000,1681.84300000,1513832399999,131758.35450500,202,750.02000000,58957.04023400,0
1513832400000,77.07100000,77.69000000,75.20000000,75.58000000,3524.78900000,1513834199999,265971.42875000,211,1101.28300000,83110.53992800,0
1513834200000,75.58000000,75.98800000,74.32200000,74.97000000,2142.17500000,1513835999999,160749.34915500,197,944.36200000,71119.56254300,0
1513836000000,74.97000000,75.96900000,74.35600000,75.96400000,1747.95600000,1513837799999,131460.00751000,130,1533.81600000,115326.60891700,0
1513837800000,75.96400000,75.98800000,75.00100000,75.64600000,2508.78700000,1513839599999,190187.76247500,199,1537.52400000,116759.90123600,0
1513839600000,75.64600000,75.96600000,74.00100000,74.00100000,1917.89200000,1513841399999,143822.86919700,215,472.85100000,35524.00415200,0
1513841400000,74.64400000,75.61200000,74.10000000,75.50000000,1021.43900000,1513843199999,77058.75986200,145,827.32000000,62406.65212200,0
1513843200000,75.50000000,75.56900000,74.50000000,74.50000000,787.36600000,1513844999999,59020.40240200,117,221.04900000,16608.27421900,0
