Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1508254200000,5588.96000000,5628.63000000,5580.23000000,5603.01000000,38.25715400,1508255999999,214208.88557475,165,12.98544300,72754.51839251,12937.41376275
1508256000000,5619.98000000,5625.00000000,5574.21000000,5624.98000000,23.91839000,1508257799999,134003.67740082,151,8.35601900,46898.82378186,12927.90593181
1508257800000,5599.02000000,5628.45000000,5580.02000000,5585.24000000,44.29566600,1508259599999,247794.57797967,178,32.83332100,183769.39949119,12971.17632182
1508259600000,5585.23000000,5619.99000000,5585.23000000,5619.99000000,24.53174500,1508261399999,137212.84388458,141,6.22506100,34887.22490831,12959.11544757
1508261400000,5600.98000000,5628.66000000,5600.98000000,5628.55000000,34.30764800,1508263199999,192936.19982673,213,18.78367200,105691.89477849,12971.53309477
1508263200000,5624.95000000,5639.99000000,5601.02000000,5621.21000000,51.14112400,1508264999999,287608.81232270,281,29.59150100,166516.92028132,12963.39273892
1508265000000,5639.98000000,5649.99000000,5621.31000000,5639.94000000,27.27923700,1508266799999,153876.96351858,310,13.26129500,74859.21688089,12944.18607703
1508266800000,5625.03000000,5639.94000000,5625.02000000,5633.90000000,24.24495500,1508268599999,136566.44771243,215,20.67673000,116492.28573515,12982.45510772
1508268600000,5625.08000000,5633.92000000,5621.03000000,5622.06000000,10.30853200,1508270399999,58017.66305643,82,5.62622400,31697.47967518,12977.22620345
1508270400000,5622.10000000,5633.99000000,5622.08000000,5633.85000000,23.80481000,1508272199999,134095.09972398,199,10.70229000,60295.66441786,13000.49117245
1508272200000,5633.96000000,5634.06000000,5601.07000000,5601.09000000,40.49299300,1508273999999,227591.33559824,453,26.34787600,148132.58061950,12969.25177854
1508274000000,5603.57000000,5625.43000000,5601.07000000,5605.03000000,13.29370900,1508275799999,74502.97268604,107,6.59962200,36988.47325683,12980.19913062
1508275800000,5605.04000000,5623.37000000,5586.15000000,5598.98000000,44.80171500,1508277599999,250998.69088315,234,23.52027500,131792.92769327,12985.80747994
1508277600000,5590.03000000,5625.68000000,5590.02000000,5605.05000000,14.36840200,1508279399999,80466.43693104,181,11.26082600,63070.56737293,12996.44014988
1508279400000,5605.54000000,5621.87000000,5585.25000000,5599.99000000,31.52957200,1508281199999,176675.77677624,188,2.16523100,12127.82339169,12969.24101868
1508281200000,5599.99000000,5618.98000000,5585.30000000,5586.06000000,18.87189400,1508282999999,105544.20945819,103,7.51211900,42068.45916607,13013.43127391
1508283000000,5589.00000000,5636.53000000,5589.00000000,5595.00000000,14.84897000,1508284799999,83398.84370501,243,4.65301000,26160.19064639,13016.22919753
1508284800000,5595.00000000,5596.00000000,5528.79000000,5549.99000000,38.15133900,1508286599999,212034.54345400,601,9.70466400,53830.88455703,13006.13227265
1508286600000,5529.01000000,5547.98000000,5520.25000000,5525.01000000,35.33538700,1508288399999,195277.66212422,696,13.00568400,71939.01791510,12910.39872644
1508288400000,5530.66000000,5530.66000000,5500.00000000,5503.99000000,41.42849400,1508290199999,228583.79127908,237,11.03887300,60972.06447562,13009.35727842
1508290200000,5503.98000000,5528.98000000,5485.03000000,5490.02000000,20.14924800,1508291999999,110923.04641028,294,7.82250700,43089.94009575,13020.05148035
1508292000000,5490.00000000,5520.00000000,5465.01000000,5520.00000000,60.32765500,1508293799999,331035.85970507,276,21.28343600,116822.43068915,13026.64526506
1508293800000,5498.61000000,5519.99000000,5497.98000000,5497.98000000,26.92630300,1508295599999,148167.99538560,304,9.87404900,54407.28306111,13015.80895640
1508295600000,5497.98000000,5497.98000000,5422.01000000,5484.92000000,56.25283800,1508297399999,307251.48493130,481,14.26808800,78112.96381739,13046.43451102
1508297400000,5484.92000000,5484.93000000,5440.05000000,5484.86000000,39.62281100,1508299199999,216809.81669725,494,16.07031100,88028.34286978,13036.26119954
1508299200000,5483.99000000,5560.98000000,5467.63000000,5529.68000000,78.96856200,1508300999999,434962.33670766,256,30.72075300,169183.13067729,13031.76879781
1508301000000,5545.00000000,5560.00000000,5480.00000000,5529.98000000,36.52758900,1508302799999,201438.20285336,350,8.69842400,48063.43392151,12996.26683230
1508302800000,5525.01000000,5561.99000000,5523.00000000,5559.98000000,31.54840800,1508304599999,174752.62195443,311,13.83659300,76858.99757958,12976.62102292
1508304600000,5559.99000000,5559.99000000,5504.86000000,5505.56000000,52.11445500,1508306399999,288466.49880645,229,16.16015300,89617.47040925,12955.11964775
1508306400000,5490.02000000,5490.06000000,5362.91000000,5390.12000000,77.40381700,1508308199999,420076.12683173,514,32.31989500,175066.46086579,12935.96731077
1508308200000,5414.99000000,5414.99000000,5323.53000000,5323.54000000,37.26588900,1508309999999,199543.30723099,398,16.86164200,90345.48123225,13012.05641566
1508310000000,5323.54000000,5387.01000000,5306.01000000,5368.99000000,51.02678300,1508311799999,273033.48471200,371,29.26250300,156724.87421087,13239.76352767
1508311800000,5368.99000000,5368.99000000,5277.22000000,5277.22000000,38.43897600,1508313599999,204536.19278179,329,10.29144700,55025.10662083,13235.67843892
1508313600000,5267.38000000,5320.00000000,5230.00000000,5296.88000000,74.55754800,1508315399999,392630.25103664,421,31.23188800,164706.58045951,13241.69689216
1508315400000,5280.02000000,5369.00000000,5276.16000000,5368.73000000,42.53736000,1508317199999,226310.87331617,312,14.40401900,76781.60455434,13265.12462562
1508317200000,5344.01000000,5379.00000000,5310.03000000,5329.55000000,79.64168300,1508318999999,425659.58178449,425,37.93586200,202637.23768660,13343.44632860
1508319000000,5329.55000000,5345.22000000,5311.02000000,5331.29000000,78.82730500,1508320799999,420658.75756801,225,40.38718700,215655.73603284,13174.49550357
1508320800000,5331.28000000,5331.31000000,5239.95000000,5314.94000000,77.46504000,1508322599999,410946.06965033,316,28.02699700,148891.71974432,13153.81992207
1508322600000,5290.52000000,5317.40000000,5290.52000000,5300.23000000,48.62426900,1508324399999,258079.85727191,252,23.77264200,126335.79442553,13283.32444804
1508324400000,5300.23000000,5331.30000000,5226.17000000,5261.17000000,66.54984400,1508326199999,350467.53730210,304,28.59201900,150749.54492575,13259.77556156
1508326200000,5261.17000000,5284.00000000,5226.00000000,5273.25000000,42.32497400,1508327999999,222638.60958478,468,26.56271600,139791.17596050,13262.47836969
1508328000000,5283.98000000,5288.23000000,5273.23000000,5288.23000000,45.34730700,1508329799999,239538.93865628,381,20.74732300,109638.28490901,13246.34850040
1508329800000,5279.18000000,5288.22000000,5262.00000000,5277.98000000,27.59426700,1508331599999,145698.06106899,255,15.54518400,82139.01405733,13262.19788912
1508331600000,5277.99000000,5277.99000000,5208.68000000,5235.49000000,77.60079600,1508333399999,406574.74984690,297,41.30412900,216530.27265634,13308.64392548
1508333400000,5229.01000000,5240.03000000,5150.00000000,5150.00000000,72.45718100,1508335199999,377427.06414289,320,25.92729200,135282.95850510,13290.34224009
1508335200000,5156.33000000,5156.36000000,5037.95000000,5099.99000000,87.64488000,1508336999999,446045.67850456,542,38.53714300,196151.97726888,13292.81439781
1508337000000,5099.98000000,5199.99000000,5095.00000000,5168.00000000,33.20864900,1508338799999,171708.95739470,207,17.38924400,89902.92746298,13241.09491814
1508338800000,5168.00000000,5197.76000000,5145.00000000,5159.98000000,36.27413800,1508340599999,187408.04413274,304,22.01772200,113812.64452774,13244.67127255
1508340600000,5159.98000000,5368.70000000,5148.00000000,5322.28000000,51.71027000,1508342399999,270626.49264422,317,35.59957400,186285.71007175,13204.77655653
1508342400000,5344.00000000,5400.00000000,5320.28000000,5365.66000000,36.72344500,1508344199999,197211.24026719,153,24.49066900,131647.97989070,13212.92732129
1508344200000,5365.66000000,5380.10000000,5340.02000000,5349.04000000,12.91128500,1508345999999,69256.77945650,98,3.80277200,20443.87399192,13205.83105053
1508346000000,5375.89000000,5400.00000000,5349.20000000,5386.99000000,38.51236700,1508347799999,207598.58961765,239,24.98448800,134690.35570301,13178.22782759
1508347800000,5386.99000000,5390.97000000,5341.03000000,5350.12000000,33.74375700,1508349599999,180967.57302987,166,5.91341500,31791.06629164,13232.37045246
1508349600000,5355.13000000,5407.99000000,5355.13000000,5407.98000000,56.98977100,1508351399999,306325.77413191,186,28.72911800,154662.69408901,13215.37456776
1508351400000,5407.99000000,5408.00000000,5372.85000000,5376.04000000,86.53557000,1508353199999,467377.43552124,273,43.13744000,233048.27091729,13235.17715231
1508353200000,5373.02000000,5389.00000000,5372.73000000,5372.91000000,37.50605700,1508354999999,201694.36597732,113,11.33400700,61072.79661370,13194.69316276
1508355000000,5372.89000000,5402.33000000,5367.91000000,5382.98000000,21.04263200,1508356799999,113278.17494689,197,11.31996500,61036.10185442,13206.20358905
1508356800000,5382.99000000,5395.00000000,5368.12000000,5385.03000000,40.09246500,1508358599999,215897.63704329,183,23.20739900,124988.04491471,13236.28534666
1508358600000,5394.99000000,5482.60000000,5394.98000000,5482.60000000,53.99969900,1508360399999,293242.25472418,259,37.62236300,204489.68316944,13220.78929802
1508360400000,5480.39000000,5505.58000000,5447.01000000,5505.58000000,42.47302500,1508362199999,233175.48078104,241,22.44401300,123307.12478058,13184.11957813
1508362200000,5502.03000000,5505.58000000,5490.27000000,5491.02000000,36.26563600,1508363999999,199399.00594127,255,11.74494800,64654.14169487,13222.98158579
1508364000000,5490.54000000,5503.93000000,5490.26000000,5503.92000000,17.44846500,1508365799999,95988.63285575,178,12.81449900,70518.01546556,13224.33909151
1508365800000,5503.92000000,5587.99000000,5500.02000000,5547.10000000,41.17693500,1508367599999,228798.78081625,291,22.52164200,125137.61709935,13224.48854491
1508367600000,5547.09000000,5560.00000000,5547.09000000,5550.01000000,57.28933600,1508369399999,318188.60604186,235,30.37218400,168796.08742156,13220.10680648
1508369400000,5555.01000000,5588.00000000,5512.06000000,5512.06000000,41.23986300,1508371199999,229197.14912060,270,15.98359000,88891.04450220,13189.72198084
1508371200000,5513.00000000,5549.99000000,5493.00000000,5504.97000000,24.07458400,1508372999999,132961.36751779,201,10.68282000,59063.01357344,13204.01751387
1508373000000,5500.03000000,5504.99000000,5490.26000000,5498.98000000,28.98965200,1508374799999,159398.93209476,188,18.29713900,100663.76644095,13216.77414469
1508374800000,5498.98000000,5589.99000000,5490.30000000,5574.95000000,54.75361500,1508376599999,303722.88646478,319,35.19096800,195367.02225531,13192.29886656
1508376600000,5574.95000000,5631.30000000,5568.00000000,5621.99000000,19.73721900,1508378399999,110406.83576874,164,13.99408500,78322.85579379,13199.86590788
1508378400000,5620.01000000,5620.01000000,5575.20000000,5585.20000000,9.55041600,1508380199999,53342.66329731,200,5.00722500,27965.62501362,13194.60233304
1508380200000,5585.00000000,5599.99000000,5559.47000000,5580.99000000,59.30620400,1508381999999,330457.85646369,506,39.52465700,220280.62241159,13212.04357168
1508382000000,5580.98000000,5580.98000000,5566.01000000,5569.00000000,54.97605500,1508383799999,306197.98258303,266,21.92064800,122126.23578099,13201.45492667
1508383800000,5568.96000000,5589.97000000,5566.01000000,5585.00000000,22.46061500,1508385599999,125103.94234194,128,10.17429800,56695.79078059,13165.38241147
1508385600000,5570.24000000,5628.00000000,5568.05000000,5589.52000000,33.73108400,1508387399999,189307.39346637,199,12.39180100,69578.39532148,13219.36014063
1508387400000,5589.52000000,5627.97000000,5572.02000000,5581.04000000,11.61594800,1508389199999,64975.43651880,112,5.82719700,32664.10320542,13215.33952361
1508389200000,5581.05000000,5627.98000000,5581.04000000,5615.13000000,14.80256800,1508390999999,82792.29746113,141,2.33343200,13129.52778088,13169.21722674
1508391000000,5615.23000000,5627.98000000,5613.90000000,5613.90000000,44.21589700,1508392799999,248340.88438585,204,3.63609800,20426.59291720,13166.68445790
1508392800000,5613.90000000,5613.90000000,5567.01000000,5606.98000000,18.91249000,1508394599999,105700.38880025,113,5.83638000,32731.00448819,13164.90335303
